IFNOISE  = 1
IFSCINT  = 0
IFCOSRAY = 0
VARSEE   = 2
IFVAR    = 0
IFGRAY   = 1
RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0177  1.09444 2.03983 1.00000 1.00000 1.00000 0.03000 1.30000 3.06752 1.02106
0178  1.10556 1.60958 1.00000 1.00000 1.00000 0.03000 1.30000 2.66108 1.04997
0179  1.11667 1.30007 1.00000 1.00000 1.00000 0.03000 1.30000 2.34104 1.04903
0180  1.12778 1.09945 1.00000 1.00000 1.00000 0.03000 1.30000 2.11707 1.02493
0181  1.13889 1.09422 1.00000 1.00000 1.00000 0.03000 1.30000 2.11102 1.01104
0182  1.15000 1.05890 1.00000 1.00000 1.00000 0.03000 1.30000 2.06987 1.00156
0183  1.16111 1.38554 1.00000 1.00000 1.00000 0.03000 1.30000 2.43221 1.00339
0184  1.32361 1.24462 1.00000 1.00000 1.00000 0.03000 1.30000 2.28061 1.00054
0185  1.33472 1.04567 1.00000 1.00000 1.00000 0.03000 1.30000 2.05432 1.00603
0186  1.34583 2.23023 1.00000 1.00000 1.00000 0.03000 1.30000 3.23623 1.03032
0187  1.35694 1.51891 1.00000 1.00000 1.00000 0.03000 1.30000 2.57009 1.04532
0188  1.36806 1.35447 1.00000 1.00000 1.00000 0.03000 1.30000 2.39934 1.02271
0189  1.37917 1.08665 1.00000 1.00000 1.00000 0.03000 1.30000 2.10225 1.00374
0190  1.39028 1.06931 1.00000 1.00000 1.00000 0.03000 1.30000 2.08205 1.03302
0191  1.40139 1.07862 1.00000 1.00000 1.00000 0.03000 1.30000 2.09291 1.00388
0192  1.41250 1.46656 1.00000 1.00000 1.00000 0.03000 1.30000 2.51658 1.02212
0193  1.57500 1.27760 1.00000 1.00000 1.00000 0.03000 1.30000 2.31668 1.04832
0194  1.58611 1.05284 1.00000 1.00000 1.00000 0.03000 1.30000 2.06275 1.01394
0195  1.59722 2.46242 1.00000 1.00000 1.00000 0.03000 1.30000 3.43437 1.03929
0196  1.60833 1.44376 1.00000 1.00000 1.00000 0.03000 1.30000 2.49303 1.00515
0197  1.61944 1.41960 1.00000 1.00000 1.00000 0.03000 1.30000 2.46791 1.03264
0198  1.63056 1.07829 1.00000 1.00000 1.00000 0.03000 1.30000 2.09253 1.00380
0199  1.64167 1.04869 1.00000 1.00000 1.00000 0.03000 1.30000 2.05788 1.00122
0200  1.65278 1.10300 1.00000 1.00000 1.00000 0.03000 1.30000 2.12116 1.03708
0201  1.66389 1.56290 1.00000 1.00000 1.00000 0.03000 1.30000 2.61450 1.00818
0202  1.82639 1.31821 1.00000 1.00000 1.00000 0.03000 1.30000 2.36059 1.03193
0203  1.83750 1.06407 1.00000 1.00000 1.00000 0.03000 1.30000 2.07593 1.01215
0204  1.84861 2.75027 1.00000 1.00000 1.00000 0.03000 1.30000 3.66991 1.03275
0205  1.85972 1.38136 1.00000 1.00000 1.00000 0.03000 1.30000 2.42781 1.02186
0206  1.87083 1.49763 1.00000 1.00000 1.00000 0.03000 1.30000 2.54843 1.04325
0207  1.88194 1.07422 1.00000 1.00000 1.00000 0.03000 1.30000 2.08778 1.01759
0208  1.89306 1.03204 1.00000 1.00000 1.00000 0.03000 1.30000 2.03820 1.01089
0209  1.90417 1.13252 1.00000 1.00000 1.00000 0.03000 1.30000 2.15505 1.00459
0210  1.91528 1.67830 1.00000 1.00000 1.00000 0.03000 1.30000 2.72868 1.00594
