RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0162  0.61389 1.03087 1.00000 1.00000 1.00000 0.03000 1.30000 1.01841 1.00000
0163  0.62500 2.48883 1.00000 1.00000 1.00000 0.03000 1.30000 1.72821 1.00000
0164  0.64167 1.25541 1.00000 1.00000 1.00000 0.03000 1.30000 1.14623 1.00000
0165  0.80417 1.19723 1.00000 1.00000 1.00000 0.03000 1.30000 1.11406 1.00000
0166  0.81528 1.04328 1.00000 1.00000 1.00000 0.03000 1.30000 1.02575 1.02000
0167  0.82639 1.87206 1.00000 1.00000 1.00000 0.03000 1.30000 1.45677 1.00000
0168  0.83750 1.72769 1.00000 1.00000 1.00000 0.03000 1.30000 1.38829 1.02000
0169  0.84861 1.25204 1.00000 1.00000 1.00000 0.03000 1.30000 1.14438 1.00000
0170  0.85972 1.11828 1.00000 1.00000 1.00000 0.03000 1.30000 1.06938 1.02000
0171  0.87083 1.12602 1.00000 1.00000 1.00000 0.03000 1.30000 1.07381 1.02000
0172  0.88194 1.04261 1.00000 1.00000 1.00000 0.03000 1.30000 1.02535 1.00000
0173  0.89306 2.83155 1.00000 1.00000 1.00000 0.03000 1.30000 1.86730 1.00000
0174  0.90972 1.31704 1.00000 1.00000 1.00000 0.03000 1.30000 1.17967 1.00000
0175  1.07222 1.21842 1.00000 1.00000 1.00000 0.03000 1.30000 1.12584 1.00000
0176  1.08333 1.04244 1.00000 1.00000 1.00000 0.03000 1.30000 1.02525 1.00000
0177  1.09444 2.03983 1.00000 1.00000 1.00000 0.03000 1.30000 1.53376 1.00000
0178  1.10556 1.60958 1.00000 1.00000 1.00000 0.03000 1.30000 1.33054 1.02000
0179  1.11667 1.30007 1.00000 1.00000 1.00000 0.03000 1.30000 1.17052 1.00000
0180  1.12778 1.09945 1.00000 1.00000 1.00000 0.03000 1.30000 1.05853 1.02000
0181  1.13889 1.09422 1.00000 1.00000 1.00000 0.03000 1.30000 1.05551 1.02000
0182  1.15000 1.05890 1.00000 1.00000 1.00000 0.03000 1.30000 1.03494 1.00000
