RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing
0195  1.59722 2.46242 1.00000 1.00000 1.00000 0.03671 1.30000 1.71718 
0196  1.60833 1.44376 1.00000 1.00000 1.00000 0.03669 1.30000 1.24652 
0197  1.61944 1.41960 1.00000 1.00000 1.00000 0.03667 1.30000 1.23396 
0198  1.63056 1.07829 1.00000 1.00000 1.00000 0.03665 1.30000 1.04627 
0199  1.64167 1.04869 1.00000 1.00000 1.00000 0.03663 1.30000 1.02894 
0200  1.65278 1.10300 1.00000 1.00000 1.00000 0.03662 1.30000 1.06058 
0201  1.66389 1.56290 1.00000 1.00000 1.00000 0.03660 1.30000 1.30725 
0202  1.82639 1.31821 1.00000 1.00000 1.00000 0.03633 1.30000 1.18029 
0203  1.83750 1.06407 1.00000 1.00000 1.00000 0.03632 1.30000 1.03796 
0204  1.84861 2.75027 1.00000 1.00000 1.00000 0.03630 1.30000 1.83495 
0205  1.85972 1.38136 1.00000 1.00000 1.00000 0.03628 1.30000 1.21390 
0206  1.87083 1.49763 1.00000 1.00000 1.00000 0.03626 1.30000 1.27422 
0207  1.88194 1.07422 1.00000 1.00000 1.00000 0.03625 1.30000 1.04389 
0208  1.89306 1.03204 1.00000 1.00000 1.00000 0.03623 1.30000 1.01910 
0209  1.90417 1.13252 1.00000 1.00000 1.00000 0.03621 1.30000 1.07752 
0210  1.91528 1.67830 1.00000 1.00000 1.00000 0.03620 1.30000 1.36434 
0211  2.07778 1.36757 1.00000 1.00000 1.00000 0.03595 1.30000 1.20662 
0212  2.08889 1.07958 1.00000 1.00000 1.00000 0.03593 1.30000 1.04702 
0213  2.10000 1.33170 1.00000 1.00000 1.00000 0.03592 1.30000 1.18753 
0214  2.11111 1.58694 1.00000 1.00000 1.00000 0.03590 1.30000 1.31928 
0215  2.12222 1.07425 1.00000 1.00000 1.00000 0.03588 1.30000 1.04391 
0216  2.13333 1.01957 1.00000 1.00000 1.00000 0.03587 1.30000 1.01170 
0217  2.14444 1.16611 1.00000 1.00000 1.00000 0.03585 1.30000 1.09659 
0218  2.15556 1.81117 1.00000 1.00000 1.00000 0.03583 1.30000 1.42816 
0219  2.31806 1.42428 1.00000 1.00000 1.00000 0.03560 1.30000 1.23639 
0220  2.32917 1.09868 1.00000 1.00000 1.00000 0.03559 1.30000 1.05809 
0221  2.34028 1.29038 1.00000 1.00000 1.00000 0.03557 1.30000 1.16528 
0222  2.35139 1.69411 1.00000 1.00000 1.00000 0.03556 1.30000 1.37203 
